"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Sam LaPorta",DET,"5","3 out of 5 stars","+1"
"2",1,"Travis Kelce",KC,"6","3 out of 5 stars","-1"
"3",1,"Mark Andrews",BAL,"14","3 out of 5 stars","+1"
"4",2,"Trey McBride",ARI,"11","5 out of 5 stars","-1"
"5",2,"George Kittle",SF,"9","4 out of 5 stars","+1"
"6",2,"Kyle Pitts",ATL,"12","3 out of 5 stars","+1"
"7",2,"Dalton Kincaid",BUF,"12","2 out of 5 stars","-2"
"8",2,"Jake Ferguson",DAL,"7","2 out of 5 stars","+1"
"9",2,"Evan Engram",JAC,"12","3 out of 5 stars","-1"
"10",3,"David Njoku",CLE,"10","3 out of 5 stars","0"
"11",3,"Brock Bowers",LV,"10","4 out of 5 stars","0"
"12",3,"Dallas Goedert",PHI,"5","4 out of 5 stars","0"
"13",3,"Pat Freiermuth",PIT,"9","3 out of 5 stars","+2"
"14",3,"Dalton Schultz",HOU,"14","2 out of 5 stars","-1"
"15",4,"Taysom Hill",NO,"12","4 out of 5 stars","+6"
"16",4,"T.J. Hockenson",MIN,"6","2 out of 5 stars","-2"
"17",4,"Luke Musgrave",GB,"10","3 out of 5 stars","0"
"18",4,"Hunter Henry",NE,"14","3 out of 5 stars","+2"
"19",4,"Cole Kmet",CHI,"7","3 out of 5 stars","-3"
"20",4,"Tyler Conklin",NYJ,"12","3 out of 5 stars","-1"
"21",4,"Cade Otton",TB,"11","3 out of 5 stars","+1"
"22",4,"Isaiah Likely",BAL,"14","3 out of 5 stars","-4"
"23",4,"Noah Fant",SEA,"10","3 out of 5 stars","+4"
"24",4,"Juwan Johnson",NO,"12","4 out of 5 stars","+5"
"25",4,"Chigoziem Okonkwo",TEN,"5","4 out of 5 stars","-2"
"26",4,"Tucker Kraft",GB,"10","3 out of 5 stars","+12"
"27",5,"Mike Gesicki",CIN,"12","3 out of 5 stars","+3"
"28",5,"Ben Sinnott",WAS,"14","2 out of 5 stars","-3"
"29",5,"Michael Mayer",LV,"10","4 out of 5 stars","+11"
"30",5,"Jonnu Smith",MIA,"6","2 out of 5 stars","-4"
"31",5,"Ja'Tavion Sanders",CAR,"11","3 out of 5 stars","-3"
"32",5,"Dawson Knox",BUF,"12","2 out of 5 stars","+3"
"33",5,"Zach Ertz",WAS,"14","2 out of 5 stars","-9"
"34",5,"Gerald Everett",CHI,"7","3 out of 5 stars","-"
"35",5,"Greg Dulcich",DEN,"14","2 out of 5 stars","-4"
"36",5,"Colby Parkinson",LAR,"6","3 out of 5 stars","-3"
"37",5,"Theo Johnson",NYG,"11","4 out of 5 stars","-3"
"38",6,"Tyler Higbee",LAR,"6","3 out of 5 stars","-"
"39",6,"Hayden Hurst",LAC,"5","3 out of 5 stars","-7"
"40",6,"Daniel Bellinger",NYG,"11","4 out of 5 stars","-3"
"41",6,"Kylen Granson",IND,"14","3 out of 5 stars","-"
"42",6,"Will Dissly",LAC,"5","3 out of 5 stars","-"
"43",6,"Erick All Jr.",CIN,"12","3 out of 5 stars","-"
"44",6,"Noah Gray",KC,"6","3 out of 5 stars","-"
"45",6,"Tanner Hudson",CIN,"12","3 out of 5 stars","-"
"46",7,"Cade Stover",HOU,"14","2 out of 5 stars","-"
"47",7,"Johnny Mundt",MIN,"6","2 out of 5 stars","-"
"48",7,"Brevin Jordan",HOU,"14","2 out of 5 stars","-"
"49",7,"Josh Oliver",MIN,"6","2 out of 5 stars","-"
"50",7,"Jeremy Ruckert",NYJ,"12","3 out of 5 stars","-"
"51",7,"Tommy Tremble",CAR,"11","3 out of 5 stars","-"
"52",7,"Davis Allen",LAR,"6","3 out of 5 stars","-"
"53",7,"Darnell Washington",PIT,"9","3 out of 5 stars","-"
"54",7,"Donald Parham Jr.",DEN,"14","2 out of 5 stars","-"
"55",7,"Mo Alie-Cox",IND,"14","3 out of 5 stars","-13"
"56",7,"Adam Trautman",DEN,"14","2 out of 5 stars","-"
"57",7,"Josh Whyle",TEN,"5","4 out of 5 stars","-"
"58",7,"Jaheim Bell",NE,"14","3 out of 5 stars","-"
"59",7,"Austin Hooper",NE,"14","3 out of 5 stars","-"
"60",7,"Luke Schoonmaker",DAL,"7","2 out of 5 stars","-"
"61",7,"Will Mallory",IND,"14","3 out of 5 stars","-"
"62",7,"Foster Moreau",NO,"12","4 out of 5 stars","-"
"63",7,"Jared Wiley",KC,"6","3 out of 5 stars","-"
"64",7,"Logan Thomas",FA,"-","-","-"
"65",7,"Lucas Krull",DEN,"14","2 out of 5 stars","-"
